Central Yr,HadGEM2-6.0,GFDL-ESM2M-6.0,IPSL-CM5A-LR-6.0,MIROC5-6.0,HadGEM2-2.6,GFDL-ESM2M-2.6,IPSL-CM5A-LR-2.6,MIROC5-2.6
1918,-0.010323009,0.205498828,0.203896834,0.077163857,-0.010323009,0.205498828,0.203896834,0.077163857
1919,0.020196717,0.207589941,0.219158828,0.073868616,0.020196717,0.207589941,0.219158828,0.073868616
1920,0.040727763,0.207063459,0.235047072,0.077229246,0.040727763,0.207063459,0.235047072,0.077229246
1921,0.065093759,0.20857415,0.249335767,0.090358448,0.065093759,0.20857415,0.249335767,0.090358448
1922,0.096575172,0.199682395,0.258798101,0.110155704,0.096575172,0.199682395,0.258798101,0.110155704
1923,0.121753233,0.211166693,0.279439362,0.132744978,0.121753233,0.211166693,0.279439362,0.132744978
1924,0.147175811,0.229127917,0.285557484,0.134578524,0.147175811,0.229127917,0.285557484,0.134578524
1925,0.171446592,0.224819061,0.284247989,0.134596879,0.171446592,0.224819061,0.284247989,0.134596879
1926,0.18428896,0.218680697,0.275744753,0.141688532,0.18428896,0.218680697,0.275744753,0.141688532
1927,0.186465482,0.227452557,0.290727459,0.148583744,0.186465482,0.227452557,0.290727459,0.148583744
1928,0.182242537,0.24422763,0.30343807,0.162434188,0.182242537,0.24422763,0.30343807,0.162434188
1929,0.188605698,0.234667858,0.307746242,0.17172801,0.188605698,0.234667858,0.307746242,0.17172801
1930,0.19522125,0.226467743,0.313361527,0.179945308,0.19522125,0.226467743,0.313361527,0.179945308
1931,0.195177415,0.220213497,0.325281271,0.189399018,0.195177415,0.220213497,0.325281271,0.189399018
1932,0.194266699,0.216167807,0.335523677,0.185462831,0.194266699,0.216167807,0.335523677,0.185462831
1933,0.20176612,0.220532306,0.340798159,0.175687984,0.20176612,0.220532306,0.340798159,0.175687984
1934,0.21297292,0.21415475,0.352055027,0.177834561,0.21297292,0.21415475,0.352055027,0.177834561
1935,0.217401746,0.212328707,0.362208695,0.186598042,0.217401746,0.212328707,0.362208695,0.186598042
1936,0.205651467,0.227961492,0.364669545,0.19239667,0.205651467,0.227961492,0.364669545,0.19239667
1937,0.194210601,0.218420325,0.360626072,0.198072124,0.194210601,0.218420325,0.360626072,0.198072124
1938,0.182837701,0.202111288,0.357993878,0.209343825,0.182837701,0.202111288,0.357993878,0.209343825
1939,0.172548128,0.214048784,0.357490788,0.222110671,0.172548128,0.214048784,0.357490788,0.222110671
1940,0.171056602,0.211934178,0.370882002,0.224765292,0.171056602,0.211934178,0.370882002,0.224765292
1941,0.17647437,0.209334798,0.384721701,0.227771118,0.17647437,0.209334798,0.384721701,0.227771118
1942,0.181520607,0.215507358,0.394140176,0.230597744,0.181520607,0.215507358,0.394140176,0.230597744
1943,0.179987591,0.226309871,0.387212398,0.232464614,0.179987591,0.226309871,0.387212398,0.232464614
1944,0.181240277,0.225373103,0.403631417,0.241063861,0.181240277,0.225373103,0.403631417,0.241063861
1945,0.179601393,0.2329782,0.422697086,0.248506674,0.179601393,0.2329782,0.422697086,0.248506674
1946,0.178655189,0.237599015,0.44152952,0.249267166,0.178655189,0.237599015,0.44152952,0.249267166
1947,0.183485497,0.230287424,0.447551858,0.25416249,0.183485497,0.230287424,0.447551858,0.25416249
1948,0.196530074,0.22965187,0.447703735,0.256543457,0.196530074,0.22965187,0.447703735,0.256543457
1949,0.200952833,0.241139916,0.443624435,0.261862215,0.200952833,0.241139916,0.443624435,0.261862215
1950,0.200737401,0.253001253,0.452305191,0.274900978,0.200737401,0.253001253,0.452305191,0.274900978
1951,0.206901757,0.272260927,0.471164619,0.294938626,0.206901757,0.272260927,0.471164619,0.294938626
1952,0.211373822,0.288374343,0.486884459,0.311556043,0.211373822,0.288374343,0.486884459,0.311556043
1953,0.20939135,0.28244134,0.486808675,0.307444561,0.20939135,0.28244134,0.486808675,0.307444561
1954,0.199537902,0.284279013,0.479904366,0.294862929,0.199537902,0.284279013,0.479904366,0.294862929
1955,0.190595109,0.272164416,0.466353562,0.279730858,0.190595109,0.272164416,0.466353562,0.279730858
1956,0.181510298,0.253163594,0.450232559,0.283273538,0.181510298,0.253163594,0.450232559,0.283273538
1957,0.178849648,0.25486097,0.438693456,0.294350594,0.178849648,0.25486097,0.438693456,0.294350594
1958,0.190971512,0.250582984,0.43904411,0.278993406,0.190971512,0.250582984,0.43904411,0.278993406
1959,0.190904339,0.235020056,0.433975215,0.252792067,0.190904339,0.235020056,0.433975215,0.252792067
1960,0.186226327,0.23385934,0.41611439,0.238558607,0.186226327,0.23385934,0.41611439,0.238558607
1961,0.17793489,0.231579349,0.40751955,0.223782673,0.17793489,0.231579349,0.40751955,0.223782673
1962,0.169637504,0.229640756,0.40074765,0.198129549,0.169637504,0.229640756,0.40074765,0.198129549
1963,0.16801754,0.216640158,0.403820685,0.166964051,0.16801754,0.216640158,0.403820685,0.166964051
1964,0.160476673,0.224382129,0.403233286,0.154493084,0.160476673,0.224382129,0.403233286,0.154493084
1965,0.148511235,0.226404509,0.407162587,0.155320876,0.148511235,0.226404509,0.407162587,0.155320876
1966,0.139481241,0.223103962,0.412758507,0.163502998,0.139481241,0.223103962,0.412758507,0.163502998
